id,ha_text,ig_text,ha_ig_text
1001,mu daurawa tun qarfe dayan dare muka fara aha,dabby wu nwa afo oooo,
1002,subhanallah   allah yasa ba kawai rubutawa suke ba,onye aj j  ad gh  efu  z   daal,
1003,allah ya nunama yamma,happy birthday ike obosi  chukwu nonyere gi,
1004,addu ar neman ganin annabi,looooool  kwa ma any  nweya ezigbo governor ga ar   z,
1005,apparently kaduana sai mallam tunda kina yi muma muna yi,nsogbu adiro  akwu m chim eche gi,
1006,masha allah  allah yayiwa rayuwa albarka,happy birthday nwanne mmad    ga ad  k  echi ma k  n  echi ad gh  agw  a gw           biri kwee,
1007,uwar dakita ai ke ko baki wanke   ba da yardan allah ba abunda zai sameki insha allah dan allah na tare dake insha allah i love you so much my heartbeats,okwa august 5    k anyi na e ne    o ga di kpo kpo,
1008,muna yimusu fatan alkhairi  allah yasa akare lafiya,jehovah i di egwu o   praise  octobertoremember  rogservice,
1009,sai kayi kuma allah yayi,wepraiseandworship imela 3 okaka onye ke ruwa imela imela eze mo onye 3  there s no one  odighi onye di ka gi  no one like you,
1010,yan wasan france    sunfi na    gogewa,i b  chukwu   b gh  mmad  4x   you are god you re not man   tim godfrey  nobletribe  theappointedplace,
1011,allah yanaji kuma yana gani baya bacci balle gyangyadi   allah gaka gasu nan ka gaggauta saka mana akan abnda suke mana na zalunci ko waye ameen,ogologo ndu na aru isi ike enyi ka nwanne,
1012,masha allah haka yayai allah yakarawa soja lfy amin,m  igbo niile  any  ekele unu  igbo na as  na ilu b  mman  nd  igbo ji eri okwu  n ihi nke a  ihe any  na ewetara unu taa b    l igbo  biko  mezue ilu a      ch  nwa  k k  nwe ada  nwa  k k  nwe,
1013,hahah   nima thanks a lot  but all the kannywood female kinfi burgeni fiyeda kowa wllh domin bakida matsala ko ta kwarar azzara  allah shi kara lafiya da nisan kwana,onitshatwitterhangout kwezzuonu oooo   unu anwaka nn    nd  spare parts una too much,
1014,allah shi yake bada mulki ga wanda yaso kuma shi yake kwacewa daga wanda yaso    allah yasa haka shine mafi alkhairi,jesus  odighi onye di ka igi     worship  stir,
1015,subhanallah wannan abin tausayi da yawa yake   allah ya tsare bayin shi ya bayya nasu da qarfin ikwan shi     allah ka toni asirin duk wan da kee da hannu cikin wannan lamari   allah badan halin,igbo amaka  nkporo masquerade  watch and enjoy  ndi elu nkporo  rivers  nigeria,
1016,innalillahi wa inna ilaihir raji un         allah katsare mutanenmu da yan uwanmu da dukkan al ummar annabi,mike for the win  chukwu gozie gi,
1017,allah shisa kat in mance dan saina dauko selhi din tagguwata ta sallah,ozo thank you chukwu gozie gi,
1018,babu abinda ke tada min hankali irin ganin yadda ake sanya mutun cikin kabarinsa  ya allah ka saa mu cika da imani,dr  ina eme ofuma habuchakwa   da aalu mpa,
1019,ay fa kin ga haza  allah ya kyauta,morningt t   ma  chukwu m daal  maka nd   a na m ekpekwa ekpere taa    na   enye any  ng zi na nchekwa  g zie nigeria oh onye isi,
1020,allah yajiqanshi da rahmarshi,b r  chi kene olisa   e mepe  z   e mepe  n    ka  b ch  taa mara any  nile mma,
1021,allah ya kawo ciniki,palliative umu chineke,
1022,true talk jaruma,please i want a refund of my money if not amadihoha ga agba  l  g   k  ah gh  m ihe m kp r  as  as,
1023,subhanallah allah ya kubutar da su,okwa gi na ahigh mu    good morning,
1024,amana supply nashi a film house cinema on 7th feb   zai bada armashi muna ci muna kallo    yommie,ezechitoke abiama  anyi na ekele gi maka uboshi nke nta  dube anyi ka anyi jee nke oma ma batakwa n udo,
1025,haka dai aunty aisha allah yaji kanta tace  kudai kuga aure  the same thing with ur words  allah yasa mu dace,nd  nkem deeme n,
1026,gaskiya    you really a good person   allah ya baka lada dakai da sauran mutanen dake cikin                 gidan badamasi                 wllh kana samu nishadi      allah ya biya ku duka,okwa nna gi ochie sef,
1027,lallekam sadau kinchashe sosai  allah yakara taimako amin,happy birthday susu baby live long and prosper     anyi bu ikorobia ibusa na anioma cho ifu ndi ogor this year o,
1028,wayyo allah this yarinya akwai beautiful over,okwu agwu  daalu nu nnukwu mmadu,
1029,kinyi kyau amma asamu ayi aure dai kar kayan shagon yakare,kw   t  ekele eze,
1030,allah ya shirye ka yasa ka amfani musulunci da musulmi,biko umu igbo chetakwanu ndi na eweghi ego  nyere ha aka  oburu obere ka inyere ha chukwu ga agozi gi,
1031,juma a mubarak jaruma,ah  dicha any  mma  ekele d r  chukwu,
1032,allah ya shiga lamarin kasar mu    ya bamu lafiya da zaman lafiya,eziokwu d  nd,
1033,ya allah kai mai afuwane ya allah kaimin afuwa  sai in roki duniya da lahira rokona kenan,ekene kwem gi ada mmadu,
1034,allah ya kara lafiya da nisan kwana  go ahead 2019 in sha allah,our hero  chukwu gozie gi nna,
1035,kawai abewa sunusi lamido sunusi  shima yasamu yadan sarara  in kuma ba haka ba to abewa mc tagwaye,ezigbo ego stops nonsense,
1036,kai jama a    allah kawo mana karshen wagga masifa  allah tona asirin sponsors nasu amen,ututu oma ndi oma,
1037,ina alfahari da kasata    saboda bani da wata  asa da tafita  fatana shine allah ya kara daukaka kasata,obi m asa m pete nne mara nma nwayi oma,
1038,subhanallah allah ya kiyaye mu   ya basu lafiya,ihe ndi mmadu choro abughi na a ga eme ma o bu na a na eme ndi mmadu achoghi oji onu egbu oji ha choro ekwueme  cfmnzukoumuaka,
1039,allah ya kawo mana wannan cigaban a kasar mu,daalu onu ndi igbo  ana m ekele,
1040,happy valentines day my dear actress allah ya barnumu da soyayyan ki ameen i love you     dear,daalu noni onye osi ite,
1041,nike da abunda bazan manta dashiba a 2020  har nabar duniya  nabarwa zuciya ta wannan takaicin allah ya kara mana imani duniya da lafira amin,onye olu ebube daalu oh,
1042,allah yakawo muna zaman lfy akasanmu baki daya,abu m onye nke ina echere m o  chukwu oma abu m onye nke ina echere m o  chukwu oma onye nmehe dika m o nke ina echere m o  chukwu,
1043,big girl kin ruda social media fah wallahi    gaskiya ya kamata wannan makon social media tamiki kyauta wallahi,ike nile ne ye gi ekele  chineke e di ebube  na ra ekele anyi,
1044,mai gaskia yana tare da allah,nd  yoruba na as  as s  ha nke  ma  chineke nyere anyi aka,
1045,allah ya stare mu da  tabin hankali                 wa enda keda  tabin hankali koma  muna rukon  allah  yabasu  lafiya,anum naka jesus onye keluwa anum naka jesus   gh outerringrd  push,
1046,wuta   muka shaa dai,thank god for a successful sacrament of matrimony  chukwu dobe unu aso  gozie unu nke ukwuu  ma meziere unu ihe niile unu bu n obi,
1047,allah ya jiqan ma haifin jagora engr  rabi u musa kwankwaso ameen,nwoke oma osiso,
1048,hahaha   wagga at mai kyau dan allah    wallahi tafi wannan kyau,nsogbu adiro happy birthday nna  ya gazielu gi,
1049,anayi ina shan shawarma mai sanyi,impressive  nne di egwu,
1050,wayyo allah daga tayi addu a kawai simple ace                 ameen                 amma ya zama abun kace nace toh allah yasa mu dace,igbo amaka umuada igbo  bu so mma asusu igbo atogbugom nri ndi igbo  ekwucha ogwu,
1051,yayi karshe me kyau domin makiyi kan zamo masoyi akarshe   bm,nwanne    daalu  udo ga di,
1052,allah jiqansu da rahmarsa,proud ada ndi igbo,
1053,wan nan yayi daedae     sbd ansa6amuna sosae a yayi musulmae suma suna bukukuwan sallah qarama da babbar sallah,nsogbu adighi at all,
1054,kwarai dagaake dumin mu sakkwatawa muna bayan alu wamakko kuma saiiii baba buhari mai gaskiya allah ya kara bashi nasara,akunesiobi ike 1  gbagagbaga oke enyi  okwuoto ekele eze nke mbu  onye oma etere mmanu  yagazie mazi gburugburu  udo,
1055,allah kakawo rannar da dan nigeria zaiji dadi wannan ranar amma dan allah jam a da june 12 da may 29 wannai yafi damadama,aka aka ya aka jehovah meme nma olu ebube ya nke nerughari nebe m no isi iyi nke ndu nke nadighi ata ata aka aka ya aka jehovah meme nam,
1056,jinjina gareku kanawa mutanenmu  lallai abu yayi armashi kuma an birgeni  irin wannan biki da suka gudanar yatunomin da rayuwar yarintana  wallahi ni naji da in wannan biki da matasan unguwar bel,nne i na agbani n ide igbo   jisi ike inugo,
1057,ameeeeen ya allah malam aminnu saira,all the best man  chukwu dube gi,
1058,akwai bara zana ga tsaro a kasata nigeria   allah ka kawo mana dauki  ya hayyu yaa qayyum,np true love  oge ndi igbo,
1059,hajiya ina rokon arziki da alfar ma don allah  i dan nayi aure inason inkawo mata ta wurin ki ko restaurant dinki ta koyi girki          if possible ki buda  sadau s  cooking institute      let s,daal  kwa nna  gozikwara gi,
1060,allah yasa wannan karon da gase yake,amen  onye nkem   thanks,
1061,stay safe rahama,dalu ezinwanne   chukwu gozie gi,
1062,masha allah congratulations allah yataya riko sabon sarki ambassador ahmed nuhu bamalli,testing for ula  daalu so onye oma  jide ka iji,
1063,alh manir ja afar hakimin gundumar basawa shine zai maye gurbin sa da yardan allah,dm gi is locked  odogwu chukwu gozie gi,
1064,mu dai a  asar mu nigeria sai jibi za a yi sallar idi  muna yin muku fatan alkhairi da yin shagulgular sallah lafiya,happy birthday professor  senator ike ekweremadu,
1065,ya allah ka ba wa mai gaskiya nasara   ya kuma taya mai nasara riko,umunna di ultimate,
1066,na wannan my lovely wife,anyi di mma oo ego anyi na acho,
1067,uhm dan uwa kazamo mai kwarin gwiwa aduk al amuranka na yau da kullum kazamo mai karfin zuciya kada kazamo rago kamaida hankali akan abunda kake so koda kau yafi karfinka domun shi rabo rabone du,choii   nna daal  sor       chukwu g zie g   oha n r  nu,
1068,na gode allah   a kan ka,ot  a ka onadi owe dim mma      daal  nwanne mmad,
1069,allah yakara daukaka musulinci da musulmai,onye oma  dalu,
1070,gyeda me sihiri a bara a ga biyu a murza a ga hudu abusa a ga guguwa a tauna aji dadi,happy birthday nwunye mowa   chukwu gozie gi,
1071,allah yasa muma masama saukin kashe kashe a nigeria,np   onye isi oma   on the  trafficjam,
1072,allah ya kyauta dai kawai zamuce,ezigbote nd  obodo,
1073,muna gaishe su,jesus o bu otu a ka idi o dighi onye dika gi ihe gi asugbuo mo daddy idi ka mmanu anwu,
1074,kuma al qur ani ne me debe mana kewa bawani waqa,mmadu abulo chukwu,
1075,lokacin sane watarana sai labari kuma mutum yanaso idan yamutu ace allah yajikansa da rahama mutane suna tuna aikin ka me kyu da mara kyu da shine xasu yabeka ko aksin haka allah yasa mugane ameen,laycon         onye chukwu mere eze bu eze        congrats oboyyyyy,
1076,m y love rahama sadau,ogoo   onye isi oma  the lucky one,
1077,allah ka tsare mu da zuriarmu  kamana maganin damuwanmu duniya da lahira,chukwu gozie g  nna,
1078,gaskiya kuwa sai nigeria,di mma    na enye m obi  t,
1079,observation    wannan bai karasa minti daya ba  amma still na baku maki 100,okwu gi kwu oto  daalu,
1080,dan allah maluman musulunci kuji tsoron allah kufa wakilan annabi s a w hakki ne a kanku daku dinga wa azi akan gaskiya da gaskiya kune wakilan musulunci pah wasunku ana hada kai dasu ana cin dun,well said oga aka ebube  ebube chukwu chekwado gi ofuma,
1081,allah yyi mana mgnin wannan musiba ameen,np  chukwu agozigo gi  rmx    ft lucy q cc  knightpartyclubmix  danceparty,
1082,allah muntuba kai wannan duniya,maka na chineke di too much,
1083,allah ya kare gomnan borno,ulu nwanyi oma  daalu,
1084,allah ka mana katanga da shi  amen,oloye ololo   chukwu gbaa gi ume    2niteoloye cocktails by enliven,
1085,allah kaji kan dan kwarai gamji sardauna ahmadu bello amin  kasa aljannah makomah amin albarkar annabi da qur ani,odogwu  d  sharp  agam ach  idi ka g  mma nto,
1086,mu gode bbc hausa,chineke  onye bi n igwe  ka nyi bulie aha hi elu ni hi ahangi di nso      grandrising,
1087,dama haka takeso,ututu oms    nwa afo igbo,
1088,ahayye   dolene baban director dole kace wnan episode yafi burge ka sbd anyi show sosai  allah yasaka mah rukayya dan tafadi gaskia dan mahmud bashida liver na saka mace ta so shi  itakuma sumayy,nke n enwu oku,
1089,allah yasa a aifi masu albarka amin,ole  igwe  2ce  chineke mo onye ma mmara okaka  onye ma mmara eligwe ka mmaa 2ce    offering  giftedhands  fhlive,
1090,darling kinsha kyeu over,ututu oma umuchuckwu  ka taa mara anyi nma oh oo,
1091,rahama zata auri nycs  allah yasa ayi damu,chukwu gozie gi mazi china  o ga bu ihe di nma o buru ma umu igbo ga agwa onwe ha eziokwu ba nyere ochichi obodo anyi na ntunye aka n  afo na abia n ihu  anyi ga na agbasa okwu di ike,
1092,labari mai suger,insha allah  onye kwe  chi ya ekwe,
1093,ba abinda suka iya love sai oyinbo wlh wanan shi ake kira calfonian love,nwanne mmadu    mmanu nso di gi n isi,
1094,amin amin  i love you rahama my baby,ulo m di n elu igwe mara mma,
1095,my luv  you luk gojiyos      idan bake ba sai rijiya gaba 1000k,igwe don  daalu,
1096,allah sarki allah kai mana tsari da talauci,eze ndieze idi egwu  onye nabia ozo  onyedikagi   africanpraise  3dservice  rog,
1097,hhhm allah yasa mu dace duniya da lahira,nnwa chukwu na agbal  through pass chief         nwebe a  r  na  b ch  g  amaka odogwu    happy birthday ezigbo mmad,
1098,muma mun karrama wanda yayi filliyar a zukatan mu,vibing   chukwu agozigo gi remix    thetakeover w,
1099,tayi kokari matuka  allah ya mata jagora,daalu so    gbaghalu o    ka udo di    anyi bu umunne    anambara go get that kin  bus station in our lifetime       meanwhile  kachifo,
1100,allah ya sa ku ganshi,happy birthday fam  chukwu gozia g  nke  ma na nd  g  niile amen  cheers,
1101,allah ya ganar damu,e hotago   t t   ma eze egwuregwu na ekele g,
1102,kano ta dabo ci gari kodame kazo anfika  wannan ma wata nasararce,middayonkiss w  x    kissmix989    kpo kpo di kpo    throwbacktuesday    goodtalkgoodmusic 98 9,
1103,allah bata lpy  yakarae mu bakidaya,nwanne m  chukwu gozie opupu gi na mbata gi na 2020,
1104,wannan maganar haka take babu kokonto acikinta,chineke ekwela ihe  j,
1105,allah kara basira fitaccen darakta,merry christmas ndi  ma,
1106,alhamdulillah  masha allah  muna mika godiya ga yan uwa da abokan arziki  wanda suka taimaka akan wannan al amari da ya faru  allah ya saka da alkhairi  allah yabar zumunci,eeeyii  ezemmuo himself  daalu nke oma    ihe onye n eme mara ya ahu  nke onye chiri  ya zelu  chukwu gozie ala igbo ma goziekwe umu igbo  iseee,
1107,llah yasa kaffara ne kuma kibar kuka   ki lizamchi istigifari,yes ooo o ga di kpo kpo o ga di kaja kaja oga dikwa nwe mme nwanne  akwabatacha,
1108,allah ya fito damu,wetin happen na nwanyi oma  aga emelu mmadu arrangement guys,
1109,nice one mai gida,igbo muru nze muo ozo  anam ekele,
1110,masha allah haka akeson hadin kai akomai aringa taya juna kokari,happy birthday dear  ch neke goz e g  ma nye g  ebu m n ob  g  n afo  h r  a,
1111,ameen sanyin zuciya ta,eziokwu bu ndu tell them,
1112,allah shi tsare mu baki daya amin,nyenweany  g zie gi  welugodu ofu heineken,
1113,true fact yar uwa,ofu ife m ji f  nwa ada a na anya b  n oso na otu nwa agb gh  mara mma nke ukwuu n ad gh  eche na  s  as s  igbo b  nd  local ma  b    identify as igbo b  ife ihere    igboamaka  igbotic  thedotna,
1114,allahu akbar allah yasa muna da rabo muma albarkan annabi saw,nne m e di oyi,
1115,ameeen ameeen ya rahman  nagode,nnukwu mmadu na apex onitsha,
1116,wannann yarinyar tayiphaa wayasan gdansu yarakani xancee plxx,np   onyi isi oma   on the  trafficjam,
1117,allah ya dada kare mu baki daya aameen,emeka na a k a ochilu ozua nke mbu,
1118,allah yasa muma nigeria sai lahadin,uche gi anatago kita,
1119,allah yaji qanshi da rahama,ahu di mma sara onwe ya,
1120,allah ya kawo mana karshen wannan masifun ameen,jesus odi onye di kagi 4x onye onye onye odironye di kagi 2x onye onye onye odironye di kagi    repeat      globalimpactng  joytotheworld,
1121,allah yajikan takawa,ada igbo anam esokwa gi,
1122,toh  allah shi sauwaka,chukwu di eeeeeeehhh,
1123,i like ur beauty and extraordinary performance in  uziri gaskiya ina kaunarki dayawa kina burgeni aduk film dinki   love u,nwanne ara agbana gi o     jesu kristi oooooooo,
1124,to allah ya kawo wa al ummar musulmi daidaito akan abinda suka sa a,chukwu zoba nn,
1125,hmm dama ai wannan al amarin a fili yake                   da dan gari  akan ci gari                  allah ya kawo mana mafita a kasarmu dama duniya baki daya  amin,dear     daalu nu  onye nke unu ga emere unu ofuma  udo,
1126,allah ya ara  aukaka masuson bin dokokn addinin muslunci    shikuma wannan mutumin allah yasa hukuncin da akayimasa yazama rahama agareshi a gobe  iyama,jisie ike nnam  nke emere ogafee,
1127,me yasa komai kukayi yake kyau ma mutane ne,onye nwe anyi ezitewo ndi mmoziya ka ha nonyere anyi you are the living god o  eze  no one like you ekwueme   ekwueme    ekwueme   ekwueme    you are the living god o  eze  no one like you    2,
1128,hhhh kai with babu gwamnan da yake burgeni kuma yake bani dariya kamar elrufa i    killace kansa yana da kyau,ekele gi na chineke na agozi,
1129,allah ya sa muna ciki,twaile dammy onye ego,
1130,mashaallah allah yakara jagoranci,anambra igbo na  ato daaachii,
1131,dan allah dan annabi ki nemo miji kiyi aure,onu mu juru n ekele  oloro ihe loro ihe loro enyi ofu mba ji ana eme offload ofu onye ana asi unu abila eze ndi eze papa nara ekele mu o,
1132,i swear zahra made the right decision by dumping this man     whaaaat  wallahi aji tsoron allah dai,imela  chukwu gozie gi,
1133,allah yasa muga wurin nan da idon mu,zam ekpere onye nwe m,
1134,rahama sadau    love you so much from ghana aka tatuma,ndi be anyi  nnoo,
1135,aiki yayi kyau ai film ya dauku,chukwu gozie gi nwannem,
1136,kaga masu to da gske badawasa ba  kuma ba masu yaudarar mutane zamu gyara ba   ubangiji allah ya dafa masa,ekelem diri gi  otitom diri gi chim kanyi bulie aha gi elu nihi na emere ihe di nma,
